time,xyz,energy,ediff
1618861480.700181,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.056039029699271      0.036111938679896     -0.058954361610309
C       0.480209620978446     -0.786898349471049      1.116037187195664
H       0.920978692868336     -1.792755432568789      1.066736944417151
C       0.877117238496906     -0.156433734983904      2.455278386437749
O       0.112958196012673      0.505420773804076      3.107747866631694
O       2.139631955034864     -0.359365249370605      2.870117212466723
N      -0.962859554966036     -0.895575965742152      1.086106659966050
S       2.870672349382092     -0.008624333211707     -0.203804971722944
H       0.705805826817608      1.072102865229067     -0.011426268178420
H       0.678400763145709     -0.393850984483702     -0.992462219417689
H       2.653497683224742     -0.810656985465581      2.179017708085070
H      -1.303511916186763     -0.945586317178775      0.132086111814595
H      -1.363971585499769     -0.077690317779861      1.536392156037399
H       3.133261805432810      1.104812579576822      0.495467640211862
",-19641.708383368983,0.0
1618861484.981502,"[34.05137524176237, 232.44633750563918, 134.2165465005285, -12.450075709080956, 12.298726827410379]","14

C       1.059470954554622      0.077547905189061     -0.077087285002655
C       0.558668833206273     -0.727494716891206      1.151474956648397
H       0.519027659110117     -1.784974747567194      0.829713357690418
C       1.456624055257299     -0.785203655835659      2.408169037064562
O       0.986614657522807     -0.609137596168708      3.505847197778218
O       2.734752477634421     -1.145351327734566      2.272761004719833
N      -0.779589832421478     -0.315655292800189      1.509892746656359
S       2.846601972813900      0.130172299969510     -0.457587125619877
H       0.752157875799658      1.119721316952276      0.050342438827879
H       0.541703426969043     -0.306978718806365     -0.959729071251328
H       3.002107818196464     -1.149657813764889      1.334476248628339
H      -1.059191036167540      0.536655077737534      1.041050508309046
H      -0.835935478971263     -0.181336548299585      2.515283466096006
H       2.977606653870700      1.460560634138984     -0.533658404642249
",-19641.480555011127,0.22782835785619682
1618861489.5588,"[88.140435472623, 223.00928751896603, 96.52138196432479, 28.316259669637784, 11.15496380225039]","14

C       1.034343636744958      0.036066677145393     -0.049184619933794
C       0.477764995049660     -0.831507826737661      1.104541141144534
H       1.158248272343617     -1.673250842578204      1.281620095029652
C       0.432364602243198      0.060385389533920      2.350673388363541
O      -0.566102923514703      0.634321993967119      2.700954626111755
O       1.598939454106072      0.243396768325659      2.989536896190315
N      -0.866034199841427     -1.326551860911109      0.863706258608819
S       2.858319122421453     -0.046216699673288     -0.086491660334192
H       0.691205478730575      1.068510025110992      0.049525694885789
H       0.664855730168078     -0.351985668109857     -1.005414712771791
H       2.335456457775076     -0.089363962445074      2.447953059781246
H      -1.034751577888530     -1.429421599721517     -0.130819959128828
H      -1.528062324630256     -0.643006667021058      1.223613551831016
H       3.080639490978210      1.257278748441055     -0.298344561154921
",-19641.585584183547,0.12279918543572421
1618861492.819537,"[92.51196828247309, 231.33784736254768, 100.7155632262446, 45.22937787753638, -5.006316231946612]","14

C       1.044758517094851      0.041977889718563     -0.042548677891189
C       0.472717802066012     -0.837903616338364      1.098101815721202
H       1.190380147949039     -1.635834935743387      1.324808335601982
C       0.323393189786592      0.076606360906149      2.316190950206776
O      -0.727103355527867      0.554132896760838      2.653904819460095
O       1.472494325083962      0.440586021312983      2.912959790247807
N      -0.826191541168979     -1.416782221357774      0.830533247279941
S       2.867623031883880     -0.046702686958905     -0.071125730323485
H       0.711090014459571      1.076835105139138      0.059208459238565
H       0.680596743111223     -0.329242833517233     -1.007657634929781
H       2.227267653082001     -0.014575600391044      2.503261773702263
H      -0.863533593022713     -1.809199979874343     -0.103666199302019
H      -1.539651793089978     -0.700378093789074      0.925146253596233
H       3.100126245783980      1.272655939339763     -0.073203696108039
",-19641.583027421526,0.12535594745713752
1618861497.109258,"[26.585390903512774, 232.41383771984175, 97.9132303671515, 36.634257565023944, 4.319045722394497]","14

C       1.071425986216105      0.042108177083797     -0.078846416963570
C       0.505145487539855     -0.774763764399653      1.118466234481762
H       0.293409223276176     -1.789699935285102      0.749763987153059
C       1.502855441852065     -0.926841679207462      2.271177902790366
O       1.473896929028489     -0.213011458472885      3.239222609969600
O       2.436277514250435     -1.888211989406186      2.159290948565183
N      -0.719082528317964     -0.230081516754126      1.666163732313628
S       2.885768129467726      0.018216967721468     -0.284002505000732
H       0.774848247105748      1.087562783535042      0.053230086433445
H       0.604993086051472     -0.314023541152922     -1.000423110849307
H       2.382031774404131     -2.325187197583796      1.297257170585509
H      -1.305498818834393      0.150308237616220      0.931126319774632
H      -0.479699311608954      0.515200297637602      2.315000738302181
H       3.060580715586183      1.345236663413391     -0.334793426222851
",-19641.41339940933,0.2949839596512902
1618861501.856379,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.062445181227482      0.055047044118286     -0.076624002758542
C       0.462336995967937     -0.744362282224338      1.084297222665238
H       1.223431082572750     -0.866049085307695      1.864806447215608
C      -0.665013866621093      0.011849047421263      1.789934593247258
O      -1.134480259096535     -0.362628607480864      2.835089307127218
O      -1.217662026777090      1.017217566628733      1.060503242491114
N      -0.003044977284429     -2.069358351087963      0.700276979890953
S       2.877447476466900     -0.095135466414667     -0.194620390617790
H       0.863814018827240      1.119085612988120      0.062089129649300
H       0.588532031793512     -0.228983934632065     -1.019933872461417
H      -2.181101341183349      0.942980402180279      1.146353167708386
H      -0.155817820722513     -2.179177162937379     -0.292645166128853
H      -0.814471085274197     -2.357138734595007      1.230751580774230
H       2.922355412944499     -0.800139338103517     -1.333141717552512
",-19641.216325993286,0.4920573756971862
1618861507.027438,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.062577043502512      0.034964588629429     -0.041906368474588
C       0.509483879748314     -0.777553586863639      1.140634136523500
H       1.284485287007352     -0.893049103677489      1.906514075911842
C      -0.678780423330598     -0.019811832749793      1.749098856013551
O      -1.509259094658984      0.516025217265699      1.065323012283831
O      -0.700775414387565      0.116592356528828      3.097315949221435
N       0.132497458788859     -2.107301533915416      0.671673302130199
S       2.866143412487627     -0.050735006734333     -0.239354783099107
H       0.765264378998381      1.084471520105797      0.016819342151569
H       0.625121066794566     -0.362141870979139     -0.962458085465753
H      -0.296036044681038     -0.649038197637454      3.527865244044150
H      -0.623809140561757     -2.023739040001107     -0.003561576087031
H      -0.215145234010698     -2.668796826785471      1.442355331094789
H       3.162262450377899      0.849157896898806      0.711320449098125
",-19641.32066787499,0.38771549399461946
1618861511.758249,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.038816728730468      0.025757679810209     -0.163691369661482
C       0.450038896186806     -0.722289074056500      1.054595766290560
H       1.283248977405771     -0.894012119556010      1.752285434689452
C      -0.531549996512979      0.126696550630942      1.881925264165678
O      -1.473171865412249     -0.362498437932538      2.449573179885159
O      -0.140034847259622      1.385200286690980      2.180758728848189
N      -0.172740832695929     -1.978475883965459      0.678040375645062
S       2.862552553994332     -0.076521496896239     -0.218987751522208
H       0.760554323059441      1.081714741733588     -0.197676461750403
H       0.634276728350908     -0.435110080671642     -1.067147585338346
H       0.303630142457845      1.807120888081821      1.432452062829512
H      -1.094008746227724     -2.037853450767394      1.103492175727776
H       0.385298297471851     -2.767670681421551      0.981061389699203
H       3.095654828140991      1.197689253793115     -0.562823481832157
",-19641.24328157579,0.4651017931937531
1618861517.928286,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.082605374611379      0.044561050837736     -0.129809354581702
C       0.472693879502450     -0.755663655317923      1.039901497436171
H       1.249044686174050     -1.434191462194345      1.422166036172886
C       0.095013209842973      0.145646277753710      2.232042335062551
O      -0.649201465003846     -0.226821840334440      3.096739981182735
O       0.635696837561748      1.391310947225932      2.255087624303417
N      -0.694285728604141     -1.543613621208634      0.680889010589805
S       2.901566314619224     -0.102843747594388     -0.197660728957228
H       0.787360684448781      1.093935293554540     -0.098990230361857
H       0.701932274875734     -0.367299579077687     -1.072171042729446
H       1.592629767268429      1.327576034723503      2.098042470461911
H      -0.936487149923264     -1.489766598592845     -0.298175553077340
H      -1.487108503353263     -1.330163632787730      1.273075697288608
H       3.176179214416200      1.196443911508121     -0.379336221700409
",-19641.114475591123,0.593907777860295
1618861522.807179,"[67.59222384055104, 265.9945503663823, 102.33641579718915, 34.67320702750394, 6.542707420682876]","14

C       1.085815379712440      0.034990541117124     -0.109305233496348
C       0.466580144361352     -0.788312616709068      1.056172686127599
H       1.223150932014786     -1.471983143471696      1.456006089014950
C       0.051633286925575      0.173995452369081      2.177926325869030
O      -1.085970625878217      0.450756189621942      2.423217376182864
O       1.085156424313733      0.639243155451503      2.952080281730528
N      -0.697595293980795     -1.566085281869286      0.699156302410178
S       2.900789385538787     -0.021109048795597     -0.206818614712891
H       0.744198057590915      1.075261185080704     -0.091814788578630
H       0.750346027273263     -0.388162211876850     -1.063310474054246
H       1.701167153318883      1.153540693698633      2.413899279425276
H      -0.448366193657700     -2.403847531760377      0.188958499090017
H      -1.375561550300370     -1.019217530748701      0.182061052396918
H       3.147835194484551      0.245218593497884      1.085829347961474
",-19641.104036881836,0.6043464871472679
