time,xyz,energy,ediff
1618606586.601363,"14

C       1.058250420870746     -0.020561127079959      0.102941229879334
C       0.489341380666384     -1.261862397471452      0.833973623592071
H       0.918201882145359     -2.151808196349451      0.350360999366263
C       0.907596761010259     -1.302740691906682      2.307980269704973
O       0.134266487012898     -1.187536769767500      3.218599381402241
O       2.217218432245769     -1.533947068015043      2.549339959715579
N      -0.949417462731399     -1.361385332067917      0.776195813147401
S       2.858938421781834      0.059880769002163     -0.115256825792768
H       0.700249770339680      0.896570847606432      0.582558188750843
H       0.664734249901545     -0.024671553214575     -0.919225471263561
H       2.687245747981346     -1.718939749340518      1.720424779286526
H      -1.287667432691791     -1.298014129227456     -0.177256666144698
H      -1.383844232402553     -0.644022474064084      1.345662879656005
H       3.192064630384438      0.331014662790941      1.155249610316449
",-19641.61783372924,0.0
1618606596.000813,"14

C       1.040678961854869     -0.043599830124308      0.105457253930883
C       0.502347460157427     -1.313367242105482      0.786770746064346
H       1.176181037225946     -2.154435554886276      0.583417664025386
C       0.359566626778403     -1.073202214816627      2.295210024438554
O      -0.254596009213508     -0.131138331636843      2.721409373157181
O       1.004045357584651     -1.908283812854819      3.135543386724332
N      -0.846141788701706     -1.678299777180131      0.342006223229082
S       2.855506479975418      0.019471707625593     -0.016944054247723
H       0.658917477587484      0.835333311745571      0.629694121622802
H       0.678870698582572     -0.003180932553641     -0.928153943518969
H       1.241509634542014     -2.735493865541404      2.693280721029777
H      -0.930651045096890     -1.536522467030445     -0.661358088521822
H      -1.499761666001225     -1.025488005980117      0.769780660794023
H       3.113484382048982     -0.688018912699086      1.092901511012212
",-19641.383200787797,0.23463294144312385
1618606602.164556,"14

C       1.077032546014212     -0.015328780453607      0.079558032917385
C       0.501843966608072     -1.255309776613817      0.833488096241315
H       0.208645403591295     -1.999079669940324      0.079203636534587
C       1.534016436507238     -1.970596573162504      1.726839667731851
O       1.517657548347816     -1.900998856440740      2.924427944605138
O       2.465201673669340     -2.718437200821549      1.097479140750478
N      -0.672254363051199     -0.954484150621786      1.605657271680621
S       2.874607790315251      0.090696712146398     -0.175313297684123
H       0.770124055721591      0.883164948675988      0.623145057752902
H       0.603530703054214      0.042499225302427     -0.902640948936556
H       2.422894163630777     -2.579664191252631      0.140073186738156
H      -1.538362033355970     -1.036962922677626      1.094604215718953
H      -0.611072570985346     -0.104832710176533      2.146904715800598
H       3.135768770236683      0.961776059312956      0.809053590318743
",-19641.309551606533,0.30828212270716904
1618606610.228591,"14

C       1.076438497096017     -0.053320020014411      0.103561847654770
C       0.473976898333678     -1.271465148091297      0.849001587364166
H       0.588440974104556     -2.144156835172240      0.190657377510407
C       1.198737283445710     -1.619619086440126      2.154236527890158
O       0.757291542963300     -1.357991451462099      3.236148978838064
O       2.450003069597233     -2.155660173611836      2.026554027989857
N      -0.932154635897049     -1.123207879645145      1.134315623733751
S       2.871298799791775      0.050527003786360     -0.162317236269706
H       0.746925414895319      0.854450514017293      0.625772566505734
H       0.635972858964155     -0.016134293617721     -0.897606623808774
H       2.456437767929351     -2.869548134995459      1.373138731444545
H      -1.501327759800819     -1.195470168034468      0.300322111587552
H      -1.131093650671886     -0.263941158736297      1.632429193746277
H       3.273910678868506     -0.374004612243677      1.040768519165671
",-19641.265638189958,0.35219553928254754
1618606615.837039,"14

C       1.039219350718661      0.010516225181164      0.074117052621687
C       0.504332194952884     -1.199800248883413      0.869299415907828
H       0.908624163492032     -2.112088315139597      0.407800746647764
C       0.959106144806771     -1.309728524574938      2.343334220231006
O       0.263476099981985     -1.820731235428177      3.177006108660791
O       2.249260151395148     -1.040652001306303      2.614345925110296
N      -0.935813304297640     -1.292012109590749      0.808086119871732
S       2.844308471222998      0.133560375783380     -0.189180271978496
H       0.692187360045186      0.933675910745451      0.547348630080597
H       0.587778104097673     -0.033962674961895     -0.920878519039342
H       2.669603041426143     -0.537925907721274      1.894111659043490
H      -1.255785131882055     -1.772024516714108     -0.021422788323108
H      -1.394565990734941     -0.395143764077250      0.904063300688889
H       3.029848611987625      1.288017575751436      0.469639083673811
",-19641.368853036525,0.24898069271512213
1618606629.878639,"14

C       0.962413009163793     -0.023339758329757      0.097197475240113
C       0.475435339260682     -1.284882739207974      0.825184421686523
H       1.167083450632580     -1.484387296473061      1.654706706313827
C      -0.852158110924922     -0.927436291220526      1.521757888751326
O      -0.952878601707720      0.058168404887059      2.198354543199774
O      -1.940370821560852     -1.725836743362998      1.271366953429910
N       0.477777206930853     -2.419309320647618     -0.076946926097282
S       2.775723802101054     -0.054317948624687     -0.111436194441637
H       0.689525424173756      0.857392970589731      0.681145879731533
H       0.473072247072230      0.043156242926298     -0.880767320859492
H      -1.819662972284576     -2.599025322255244      1.667271731557902
H       0.152108772112907     -2.158537736275118     -1.000022594904679
H      -0.071256920041180     -3.198268326708833      0.260457216168318
H       2.836011178397372      0.886402092674754     -1.065331490483899
",-19641.072696830586,0.5451368986541638
1618606641.060334,"14

C       1.052067029951427     -0.014514975205668      0.106996561326715
C       0.542702988367695     -1.308388045198072      0.813258679547104
H       1.392462513912488     -1.893421296517636      1.180301363428885
C      -0.316536840887011     -0.876951329515015      2.010359367248126
O      -1.472564916802442     -0.577198585863843      1.901943036127965
O       0.284076980465292     -0.922683063197711      3.227136674140874
N      -0.272194597591914     -2.176864778785959     -0.007897845830166
S       2.853133315550457      0.109452527325828     -0.071241791221403
H       0.671252603727089      0.888452265550157      0.593522891131036
H       0.663866618771660      0.004082699923636     -0.917119749042621
H       1.220252464490300     -0.691516858492693      3.144308271351484
H       0.284738727484075     -2.742553618621887     -0.635720397837293
H      -0.979924049549179     -1.658963839710991     -0.514543146858178
H       3.138691676569934      0.308128881104382      1.226226926428475
",-19641.25976742969,0.3580662995518651
1618606655.848198,"14

C       1.011158402123928     -0.022963815283324      0.106813556929374
C       0.549331198568715     -1.236506892523700      0.929279232576012
H       1.017574736822398     -2.129991317606997      0.505404597046844
C       1.001007948225052     -1.210166146963681      2.395733901996604
O       2.143127297446408     -1.050693550720057      2.734128082356980
O       0.065834941608509     -1.593154778880338      3.287808929236820
N      -0.915161240172686     -1.407811874015281      0.826786387734608
S       2.809908497517302      0.074909073258849     -0.157137821511550
H       0.654847964630115      0.908191573516685      0.560433563075315
H       0.552088646246116     -0.101321327523857     -0.884885347889494
H      -0.720847092261160     -1.897994131992383      2.803357677356674
H      -1.213665284311973     -1.022610251313705     -0.069407097828220
H      -1.344109175653568     -0.720245103615796      1.451690699517907
H       3.012216733656124      1.202883090366237      0.534671309209894
",-19641.41834080658,0.1994929226602835
1618606671.632906,"14

C       0.994711078944275     -0.001617596544109      0.057664309997747
C       0.573137589923327     -1.256588735126538      0.829829621668641
H       1.056668020724356     -2.133216318676128      0.383336597667345
C       0.984118129638062     -1.106827672688335      2.296726868030030
O       0.573676887303268     -0.189357620640409      2.958411004182791
O       1.826090271822757     -2.015678096831712      2.819276635197682
N      -0.880103554764138     -1.460461171645674      0.798564889374195
S       2.810439052504634      0.045896733457343     -0.086854919461306
H       0.631609688002554      0.880413682487136      0.594122412397550
H       0.547805081130332     -0.029475713669095     -0.940857075322171
H       2.141312566933738     -2.623157677294558      2.134507951892501
H      -1.278089960437352     -0.973362460654198      0.000673330399378
H      -1.281676911066470     -0.997928468089719      1.612283508716217
H       2.865278501831336      1.164005191181790     -0.823927013532492
",-19641.44169713477,0.1761365944694262
1618606688.467527,"14

C       1.030416895976879      0.004988828935709      0.050591885156729
C       0.608535328893101     -1.206295207751843      0.883647261445667
H       1.116887956657407     -2.082150208781716      0.452408041825865
C       1.082841166081450     -1.134556432554501      2.338085603836275
O       1.729752240922441     -0.239689198608814      2.809814462039609
O       0.566238339873129     -2.106903395254319      3.114442701883267
N      -0.817103902092391     -1.533448372481425      0.886983412204297
S       2.811752396271325      0.124615364306773     -0.262029500909241
H       0.763537834528056      0.925470636440402      0.577274761072804
H       0.487745230118135      0.002402646220664     -0.901409525651335
H       0.075987320175939     -2.725124467350148      2.546399193602174
H      -1.212052396340650     -1.378911983048539     -0.036811593622116
H      -1.313181938605147     -0.883814632900388      1.495474849926946
H       2.915041385471111     -0.995506293485342     -0.994944535943923
",-19641.62342268004,-0.005588950800301973
1618606702.776666,"14

C       1.037272656540990     -0.035288964354828      0.047354139060505
C       0.615557352288879     -1.252717925466442      0.886170059141181
H       1.006409690866203     -2.143903480931038      0.369016630558773
C       1.300086333329172     -1.292386804484358      2.274871866756599
O       2.363475013048555     -0.791040981024495      2.530166810755242
O       0.517115794061621     -1.768257269879345      3.255591552354545
N      -0.831426335171528     -1.384088797797930      1.013001170417973
S       2.803710574919778      0.179387553524625     -0.297635112226642
H       0.728134706659396      0.873498129290314      0.577510792467372
H       0.485078583419011     -0.051863581692431     -0.897480543380649
H      -0.234643362896115     -2.231157436898728      2.849141329135870
H      -1.169766713744889     -2.275523780484851      0.673336719474351
H      -1.345782981238658     -0.636734537042296      0.563694951258177
H       2.872380278222228     -0.673894641897518     -1.331573070184128
",-19641.461624105294,0.15620962394677917
1618606719.063115,"14

C       1.022690496130269     -0.028021978696626      0.019686816545432
C       0.637759417903051     -1.245636818801082      0.871036873507643
H       0.907898841095519     -2.152800764349076      0.319814732393309
C       1.429203934149911     -1.347524598831170      2.173413212905219
O       2.047493999761661     -2.325223903320905      2.488803913896198
O       1.467255840373592     -0.227289616706013      2.943242172171614
N      -0.793739888136391     -1.328359950393074      1.159917291655856
S       2.798772105536667      0.145464261531278     -0.302941347419293
H       0.729911453028767      0.894804984720779      0.532284143205942
H       0.468988882669701     -0.056090595470215     -0.924640152549140
H       0.675908515368229      0.313992578790662      2.813365096744191
H      -1.320153996835621     -1.073792767937407      0.328837845482012
H      -1.058753466115997     -0.651945859276429      1.870929134588758
H       2.933459268616929     -0.960002994434484     -1.052105273576181
",-19641.32412257523,0.29371115400863346
1618606735.771002,"14

C       1.030899074330873     -0.025652912871781      0.021282810821587
C       0.663271453074850     -1.259476734635386      0.852560102800657
H       1.162420693804976     -2.128861114577910      0.394720284318545
C       1.190439890130777     -1.151629307518359      2.284810394270246
O       1.749644520053697     -0.190335620612518      2.730965148829594
O       0.764610622463153     -2.154914027133249      3.108895583384510
N      -0.764588077489652     -1.568601869038340      0.892259440380946
S       2.803661463912460      0.172014051430893     -0.304937246764042
H       0.726819611331927      0.880427949093261      0.553107340758400
H       0.483865795946856     -0.047881964535177     -0.928498138152627
H       1.033357020323548     -3.018229236576964      2.767711109441529
H      -1.215240719541834     -1.255202275205247      0.037782509324387
H      -1.215225679285187     -1.069852504327227      1.653261774198221
H       2.958544891427187     -0.962375771480408     -1.006337448602924
",-19641.18553841024,0.4322953190021508
1618606758.287187,"14

C       1.033477460690234     -0.020097851276661      0.021898272459063
C       0.685441478705968     -1.304891971349666      0.797699056257668
H       0.625399382449028     -1.062735143646189      1.866622729678625
C      -0.719109907542992     -1.802176072123486      0.416054544840519
O      -1.536945773259440     -1.134608825148303     -0.161331068915108
O      -0.975018115428362     -3.031998864459165      0.882209981431761
N       1.587952701187795     -2.451129340869245      0.685604755884768
S       2.808563244811473      0.246525941760743     -0.287120396093519
H       0.670888508933996      0.842510385720767      0.585636577781795
H       0.506153968810680     -0.007007112857240     -0.932965279740722
H      -0.097426620068978     -3.451573910609771      1.008730752892650
H       2.495579289902530     -2.208581205397584      1.073860141579907
H       1.769894048089803     -2.634186698329395     -0.301550170921205
H       2.850243102384173     -0.284177235170845     -1.518112013610311
",-19641.826942842472,-0.20910911323153414
